url,name,distance (m),moving_time (s),elapsed_time (s),moving_time (h:mm:ss),elapsed_time (h:mm:ss),total_elevation_gain (m),type,start_date_local,start_time_local,start_day_of_week_local,average_speed (m/s),average_pace (min/km)
https://www.strava.com/activities/2049126556,Marathon training day 1,13000.0,3318,3335,0:55:18,0:55:35,126.8,Run,2019-01-01,10:17:09,TUESDAY,3.918,4:15
https://www.strava.com/activities/2054107422,Coach Pete makes me run in the rain,14011.4,4047,4081,1:07:27,1:08:01,27.2,Run,2019-01-03,17:34:18,THURSDAY,3.462,4:49
https://www.strava.com/activities/2058047005,Trail run at Minnekhada,6349.0,1868,1868,0:31:08,0:31:08,138.7,Run,2019-01-05,11:32:42,SATURDAY,3.399,4:54
https://www.strava.com/activities/2060588335,Another beautiful morning,19489.1,5282,5526,1:28:02,1:32:06,290.4,Run,2019-01-06,09:19:59,SUNDAY,3.69,4:31
https://www.strava.com/activities/2065504441,Some hundreds on the track,13895.5,3995,4141,1:06:35,1:09:01,170.3,Run,2019-01-08,14:39:21,TUESDAY,3.478,4:48
https://www.strava.com/activities/2070221631,Afternoon Run,16244.5,4584,4629,1:16:24,1:17:09,143.7,Run,2019-01-10,17:19:58,THURSDAY,3.544,4:42
https://www.strava.com/activities/2074350171,Nice and easy,8000.6,2731,2838,0:45:31,0:47:18,20.7,Run,2019-01-12,13:39:39,SATURDAY,2.93,5:41
https://www.strava.com/activities/2076674808,13k @ MP,20994.9,5505,5525,1:31:45,1:32:05,32.8,Run,2019-01-13,10:02:34,SUNDAY,3.814,4:22
https://www.strava.com/activities/2081786088,Afternoon Run,16597.3,5044,5320,1:24:04,1:28:40,94.4,Run,2019-01-15,17:10:27,TUESDAY,3.291,5:04
https://www.strava.com/activities/2083988100,Afternoon Run,6762.8,2168,2168,0:36:08,0:36:08,13.1,Run,2019-01-16,17:36:16,WEDNESDAY,3.119,5:21
https://www.strava.com/activities/2086016671,6k @ lactate threshold,13105.5,3315,3331,0:55:15,0:55:31,36.8,Run,2019-01-17,15:55:47,THURSDAY,3.953,4:13
https://www.strava.com/activities/2090033566,Lunch Run,6000.7,1679,1729,0:27:59,0:28:49,14.7,Run,2019-01-19,12:27:37,SATURDAY,3.574,4:40
https://www.strava.com/activities/2092678900,Easiest winter of my life,23119.9,6255,6476,1:44:15,1:47:56,337.9,Run,2019-01-20,10:13:41,SUNDAY,3.696,4:31
https://www.strava.com/activities/2097340041,10 x 100 m strides,13943.8,4313,4448,1:11:53,1:14:08,171.4,Run,2019-01-22,17:23:11,TUESDAY,3.233,5:09
https://www.strava.com/activities/2099414166,Recovery,8078.4,2691,2785,0:44:51,0:46:25,23.4,Run,2019-01-23,17:24:07,WEDNESDAY,3.002,5:33
https://www.strava.com/activities/2101456398,In the park after dark,15799.3,4579,4596,1:16:19,1:16:36,86.7,Run,2019-01-24,16:42:31,THURSDAY,3.45,4:50
https://www.strava.com/activities/2105106752,Morning Run,6227.4,1969,1969,0:32:49,0:32:49,13.4,Run,2019-01-26,10:19:33,SATURDAY,3.163,5:16
https://www.strava.com/activities/2107845803,Long and a bit too fast,24299.8,6288,6463,1:44:48,1:47:43,139.0,Run,2019-01-27,10:07:51,SUNDAY,3.864,4:19
https://www.strava.com/activities/2112257693,8k @ LT,14301.0,3571,3612,0:59:31,1:00:12,26.4,Run,2019-01-29,14:58:39,TUESDAY,4.005,4:10
https://www.strava.com/activities/2114514777,Recovery,8111.2,2626,2781,0:43:46,0:46:21,140.1,Run,2019-01-30,17:17:06,WEDNESDAY,3.089,5:24
https://www.strava.com/activities/2116467195,Afternoon Run,15701.5,4731,4802,1:18:51,1:20:02,84.7,Run,2019-01-31,16:34:56,THURSDAY,3.319,5:01
https://www.strava.com/activities/2119813447,Ready for a tough workout tomorrow,7907.6,2485,2625,0:41:25,0:43:45,64.4,Run,2019-02-02,10:16:08,SATURDAY,3.182,5:14
https://www.strava.com/activities/2122619872,Snowy 16k @ marathon pace,26240.5,7051,7208,1:57:31,2:00:08,299.1,Run,2019-02-03,10:35:36,SUNDAY,3.722,4:29
https://www.strava.com/activities/2127239527,Recovery week begins,13326.4,4209,4327,1:10:09,1:12:07,163.8,Run,2019-02-05,17:22:32,TUESDAY,3.166,5:16
https://www.strava.com/activities/2129373181,Afternoon Run,8521.6,2502,2617,0:41:42,0:43:37,29.3,Run,2019-02-06,17:14:36,WEDNESDAY,3.406,4:54
https://www.strava.com/activities/2131531728,Afternoon Run,13210.0,3660,3660,1:01:00,1:01:00,26.8,Run,2019-02-07,17:32:37,THURSDAY,3.609,4:37
https://www.strava.com/activities/2135270967,Treadmill recovery,5600.0,1800,1800,0:30:00,0:30:00,0.0,Run,2019-02-09,12:12:19,SATURDAY,3.111,5:21
https://www.strava.com/activities/2137808835,Feeling good,18999.6,4982,5274,1:23:02,1:27:54,161.3,Run,2019-02-10,10:58:39,SUNDAY,3.814,4:22
https://www.strava.com/activities/2142019957,8k @ HMP,16132.0,4052,4100,1:07:32,1:08:20,34.5,Run,2019-02-12,11:42:07,TUESDAY,3.981,4:11
https://www.strava.com/activities/2147776198,Treadmill,6000.0,1830,1830,0:30:30,0:30:30,0.0,Run,2019-02-13,19:56:02,WEDNESDAY,3.279,5:05
https://www.strava.com/activities/2149798472,Medium long,18156.5,4895,4907,1:21:35,1:21:47,76.5,Run,2019-02-14,16:22,THURSDAY,3.709,4:30
https://www.strava.com/activities/2154124692,Recovery with 8 strides,10907.0,3166,3282,0:52:46,0:54:42,24.2,Run,2019-02-16,13:43:41,SATURDAY,3.445,4:50
https://www.strava.com/activities/2156358879,Quiet morning in New West,29006.0,8071,8200,2:14:31,2:16:40,269.5,Run,2019-02-17,08:52:58,SUNDAY,3.594,4:38
https://www.strava.com/activities/2161615705,Some more strides,11280.7,3302,3398,0:55:02,0:56:38,27.2,Run,2019-02-19,17:21:49,TUESDAY,3.416,4:53
https://www.strava.com/activities/2162862373,Still dislike morning runs,18815.2,5295,5533,1:28:15,1:32:13,35.7,Run,2019-02-20,07:19:55,WEDNESDAY,3.553,4:41
https://www.strava.com/activities/2168101794,10k @ 15k pace,16329.0,3969,3969,1:06:09,1:06:09,74.4,Run,2019-02-22,16:20:01,FRIDAY,4.114,4:03
https://www.strava.com/activities/2170503805,Recovery,8093.4,2251,2320,0:37:31,0:38:40,22.5,Run,2019-02-23,14:09:41,SATURDAY,3.595,4:38
https://www.strava.com/activities/2173338136,Hilly long around Deep Cove,32198.5,8895,9111,2:28:15,2:31:51,543.9,Run,2019-02-24,10:56:24,SUNDAY,3.62,4:36
